,Author,links,Author Info,Paths
0,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"['The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.', 'Albert Einstein', '/author/Albert-Einstein', 'change,deep-thoughts,thinking,world']",Authors/Albert Einstein.txt
1,J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,"['It is our choices, Harry, that show what we truly are, far more than our abilities.', 'J.K. Rowling', '/author/J-K-Rowling', 'abilities,choices']",Authors/J.K. Rowling.txt
2,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"['There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.', 'Albert Einstein', '/author/Albert-Einstein', 'inspirational,life,live,miracle,miracles']",Authors/Albert Einstein.txt
3,Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,"['The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.', 'Jane Austen', '/author/Jane-Austen', 'aliteracy,books,classic,humor']",Authors/Jane Austen.txt
4,Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,"[""Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring."", 'Marilyn Monroe', '/author/Marilyn-Monroe', 'be-yourself,inspirational']",Authors/Marilyn Monroe.txt
5,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"['Try not to become a man of success. Rather become a man of value.', 'Albert Einstein', '/author/Albert-Einstein', 'adulthood,success,value']",Authors/Albert Einstein.txt
6,André Gide,https://quotes.toscrape.com/author/Andre-Gide,"['It is better to be hated for what you are than to be loved for what you are not.', 'André Gide', '/author/Andre-Gide', 'life,love']",Authors/André Gide.txt
7,Thomas A. Edison,https://quotes.toscrape.com/author/Thomas-A-Edison,"[""I have not failed. I've just found 10,000 ways that won't work."", 'Thomas A. Edison', '/author/Thomas-A-Edison', 'edison,failure,inspirational,paraphrased']",Authors/Thomas A. Edison.txt
8,Eleanor Roosevelt,https://quotes.toscrape.com/author/Eleanor-Roosevelt,"[""A woman is like a tea bag; you never know how strong it is until it's in hot water."", 'Eleanor Roosevelt', '/author/Eleanor-Roosevelt', 'misattributed-eleanor-roosevelt']",Authors/Eleanor Roosevelt.txt
9,Steve Martin,https://quotes.toscrape.com/author/Steve-Martin,"['A day without sunshine is like, you know, night.', 'Steve Martin', '/author/Steve-Martin', 'humor,obvious,simile']",Authors/Steve Martin.txt
